guid_int,type_int,type_txt,discipline_int,discipline_txt,identifier_txt,geometry_type,color,instance_type,ifc_guid,space_id,parent_element,composing_elements,room_id,guid_txt,pcd,match_id,ifc_properties
759,1,Wall,1,ARC,Wall_759,,,rewritten,,,243.0,,[324],,,"['1XD1GHfzD6cunMzxtqLi4o', '0x8tDwgKz4rBhuBSTQ03Vh', '1']",
760,1,Wall,1,ARC,Wall_760,,,rewritten,,,243.0,,[324],,,"['1XD1GHfzD6cunMzxtqLi4o', '0x8tDwgKz4rBhuBSTQ03Vh', '0']",
761,1,Wall,1,ARC,Wall_761,,,face,,,150.0,,[1],,,"['2VuhFQabH3JOql_RiqfURw', '3ieRYLDdzA7A223TPufEIb', '0']",
762,1,Wall,1,ARC,Wall_762,,,face,,,10.0,,[119],,,"['3P6tvjgV9AA81fRmsqfbRb', '0x8tDwgKz4rBhuBSTQ03Sx', '0']",
763,1,Wall,1,ARC,Wall_763,,,face,,,243.0,,[314],,,"['1XD1GHfzD6cunMzxtqLi4o', '0x8tDwgKz4rBhuBSTQ03VT', '0']",
764,1,Wall,1,ARC,Wall_764,,,face,,,243.0,,[322],,,"['1XD1GHfzD6cunMzxtqLi4o', '0x8tDwgKz4rBhuBSTQ03Vf', '0']",
765,1,Wall,1,ARC,Wall_765,,,face,,,77.0,,[303],,,"['26kn7MqLL9oOOTivXpgFz$', '0x8tDwgKz4rBhuBSTQ03VF', '0']",
766,1,Wall,1,ARC,Wall_766,,,face,,,21.0,,[297],,,"['26kn7MqLL9oOOTivXpgEjW', '0x8tDwgKz4rBhuBSTQ03V5', '0']",
767,2,Floor,1,ARC,Floor_767,,,face,,,13.0,,[309],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03VN', '0']",
768,1,Wall,1,ARC,Wall_768,,,face,,,65.0,,[300],,,"['26kn7MqLL9oOOTivXpgF_A', '0x8tDwgKz4rBhuBSTQ03VC', '0']",
769,2,Floor,1,ARC,Floor_769,,,face,,,13.0,,[341],,,"['0a$DTcOc10$eWx3Py5JFns', '3ieRYLDdzA7A223TPufELI', '0']",
770,1,Wall,1,ARC,Wall_770,,,face,,,34.0,,[289],,,"['3P6tvjgV9AA81fRmsqfbIm', '0x8tDwgKz4rBhuBSTQ03Sz', '0']",
771,2,Floor,1,ARC,Floor_771,,,face,,,13.0,,[315],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03VU', '0']",
772,1,Wall,1,ARC,Wall_772,,,face,,,39.0,,[303],,,"['26kn7MqLL9oOOTivXpgFzx', '0x8tDwgKz4rBhuBSTQ03VF', '0']",
773,1,Wall,1,ARC,Wall_773,,,rewritten,,,116.0,,[314],,,"['26kn7MqLL9oOOTivXpg2dx', '0x8tDwgKz4rBhuBSTQ03VT', '0']",
774,1,Wall,1,ARC,Wall_774,,,rewritten,,,116.0,,[314],,,"['26kn7MqLL9oOOTivXpg2dx', '0x8tDwgKz4rBhuBSTQ03VT', '1']",
775,1,Wall,1,ARC,Wall_775,,,face,,,129.0,,[327],,,"['26kn7MqLL9oOOTivXpgDDc', '0x8tDwgKz4rBhuBSTQ03Vl', '0']",
776,1,Wall,1,ARC,Wall_776,,,face,,,110.0,,[311],,,"['26kn7MqLL9oOOTivXpgCQd', '0x8tDwgKz4rBhuBSTQ03VQ', '0']",
777,2,Floor,1,ARC,Floor_777,,,face,,,13.0,,[291],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03S$', '0']",
778,2,Floor,1,ARC,Floor_778,,,face,,,13.0,,[334],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ0377', '0']",
779,1,Wall,1,ARC,Wall_779,,,face,,,101.0,,[330],,,"['26kn7MqLL9oOOTivXpgCJg', '0x8tDwgKz4rBhuBSTQ03Vo', '0']",
780,1,Wall,1,ARC,Wall_780,,,face,,,245.0,,[303],,,"['26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03VF', '0']",
781,2,Floor,1,ARC,Floor_781,,,face,,,13.0,,[326],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03Vj', '0']",
782,1,Wall,1,ARC,Wall_782,,,face,,,113.0,,[309],,,"['26kn7MqLL9oOOTivXpgCW4', '0x8tDwgKz4rBhuBSTQ03VN', '0']",
783,1,Wall,1,ARC,Wall_783,,,face,,,90.0,,[320],,,"['26kn7MqLL9oOOTivXpg2C1', '0x8tDwgKz4rBhuBSTQ03Va', '0']",
784,2,Floor,1,ARC,Floor_784,,,face,,,13.0,,[325],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03Vi', '0']",
785,1,Wall,1,ARC,Wall_785,,,face,,,84.0,,[305],,,"['26kn7MqLL9oOOTivXpgFtO', '0x8tDwgKz4rBhuBSTQ03VJ', '0']",
786,1,Wall,1,ARC,Wall_786,,,face,,,34.0,,[288],,,"['3P6tvjgV9AA81fRmsqfbIm', '0x8tDwgKz4rBhuBSTQ03Sy', '0']",
787,1,Wall,1,ARC,Wall_787,,,rewritten,,,75.0,,[3],,,"['26kn7MqLL9oOOTivXpg2uw', '3ieRYLDdzA7A223TPufEIC', '0']",
788,2,Floor,1,ARC,Floor_788,,,face,,,13.0,,[7],,,"['0a$DTcOc10$eWx3Py5JFns', '2Vw5Ga4Dz31wA6t7ociBOC', '0']",
789,3,Ceiling,1,ARC,Ceiling_789,,,face,,,164.0,,[297],,,"['1T7BPQ_hn69uk5$Jp8cvH6', '0x8tDwgKz4rBhuBSTQ03V5', '0']",
790,1,Wall,1,ARC,Wall_790,,,face,,,84.0,,[304],,,"['26kn7MqLL9oOOTivXpgFtO', '0x8tDwgKz4rBhuBSTQ03VI', '0']",
791,1,Wall,1,ARC,Wall_791,,,face,,,105.0,,[310],,,"['26kn7MqLL9oOOTivXpgCSR', '0x8tDwgKz4rBhuBSTQ03VO', '0']",
792,1,Wall,1,ARC,Wall_792,,,face,,,243.0,,[330],,,"['1XD1GHfzD6cunMzxtqLi4o', '0x8tDwgKz4rBhuBSTQ03Vo', '0']",
793,1,Wall,1,ARC,Wall_793,,,aggregate,,,"[245, 245, 245, 245]","[720, 721, 722, 723]",[324],,,"['26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vh', '3', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vh', '2', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vh', '1', '26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vh', '0']",
