guid_int,type_int,type_txt,discipline_int,discipline_txt,identifier_txt,geometry_type,color,instance_type,ifc_guid,space_id,parent_element,composing_elements,room_id,guid_txt,pcd,match_id,ifc_properties
180,3,Ceiling,1,ARC,Ceiling_180,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvNW,,,,[339],,,1T7BPQ_hn69uk5$Jp8cvNW,
181,3,Ceiling,1,ARC,Ceiling_181,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvMW,,,,[339],,,1T7BPQ_hn69uk5$Jp8cvMW,
182,3,Ceiling,1,ARC,Ceiling_182,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvMf,,,,[340],,,1T7BPQ_hn69uk5$Jp8cvMf,
183,3,Ceiling,1,ARC,Ceiling_183,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvMH,,,,[340],,,1T7BPQ_hn69uk5$Jp8cvMH,
184,3,Ceiling,1,ARC,Ceiling_184,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvM3,,,,[323],,,1T7BPQ_hn69uk5$Jp8cvM3,
185,3,Ceiling,1,ARC,Ceiling_185,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvMB,,,,[356],,,1T7BPQ_hn69uk5$Jp8cvMB,
186,3,Ceiling,1,ARC,Ceiling_186,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvLp,,,,[357],,,1T7BPQ_hn69uk5$Jp8cvLp,
187,3,Ceiling,1,ARC,Ceiling_187,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvLZ,,,,[322],,,1T7BPQ_hn69uk5$Jp8cvLZ,
188,3,Ceiling,1,ARC,Ceiling_188,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvLh,,,,[321],,,1T7BPQ_hn69uk5$Jp8cvLh,
189,5,Window,1,ARC,Window_189,occ_brep,,element,1XD1GHfzD6cunMzxtqLiZB,,,,[324],,,1XD1GHfzD6cunMzxtqLiZB,
190,3,Ceiling,1,ARC,Ceiling_190,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvLJ,,,,[320],,,1T7BPQ_hn69uk5$Jp8cvLJ,
191,3,Ceiling,1,ARC,Ceiling_191,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvLR,,,,[325],,,1T7BPQ_hn69uk5$Jp8cvLR,
192,3,Ceiling,1,ARC,Ceiling_192,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvL3,,,,[324],,,1T7BPQ_hn69uk5$Jp8cvL3,
193,3,Ceiling,1,ARC,Ceiling_193,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvLB,,,,[327],,,1T7BPQ_hn69uk5$Jp8cvLB,
194,3,Ceiling,1,ARC,Ceiling_194,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvKp,,,,[326],,,1T7BPQ_hn69uk5$Jp8cvKp,
195,3,Ceiling,1,ARC,Ceiling_195,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvKx,,,,[0],,,1T7BPQ_hn69uk5$Jp8cvKx,
196,3,Ceiling,1,ARC,Ceiling_196,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvKG,,,,[342],,,1T7BPQ_hn69uk5$Jp8cvKG,
197,5,Window,1,ARC,Window_197,occ_brep,,element,1XD1GHfzD6cunMzxtqLiXl,,,,[322],,,1XD1GHfzD6cunMzxtqLiXl,
198,3,Ceiling,1,ARC,Ceiling_198,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvKO,,,,[4],,,1T7BPQ_hn69uk5$Jp8cvKO,
199,3,Ceiling,1,ARC,Ceiling_199,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvK0,,,,[343],,,1T7BPQ_hn69uk5$Jp8cvK0,
200,3,Ceiling,1,ARC,Ceiling_200,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvB_,,,,[346],,,1T7BPQ_hn69uk5$Jp8cvB_,
201,3,Ceiling,1,ARC,Ceiling_201,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvBc,,,,[345],,,1T7BPQ_hn69uk5$Jp8cvBc,
202,3,Ceiling,1,ARC,Ceiling_202,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvKZ,,,,"[344, 7]",,,1T7BPQ_hn69uk5$Jp8cvKZ,
203,3,Ceiling,1,ARC,Ceiling_203,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvBk,,,,[346],,,1T7BPQ_hn69uk5$Jp8cvBk,
204,3,Ceiling,1,ARC,Ceiling_204,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvBN,,,,[345],,,1T7BPQ_hn69uk5$Jp8cvBN,
205,3,Ceiling,1,ARC,Ceiling_205,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvK8,,,,"[344, 7]",,,1T7BPQ_hn69uk5$Jp8cvK8,
206,3,Ceiling,1,ARC,Ceiling_206,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvBB,,,,[2],,,1T7BPQ_hn69uk5$Jp8cvBB,
207,5,Window,1,ARC,Window_207,occ_brep,,element,1XD1GHfzD6cunMzxtqLifT,,,,[318],,,1XD1GHfzD6cunMzxtqLifT,
208,3,Ceiling,1,ARC,Ceiling_208,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvAW,,,,[341],,,1T7BPQ_hn69uk5$Jp8cvAW,
209,3,Ceiling,1,ARC,Ceiling_209,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvAI,,,,[336],,,1T7BPQ_hn69uk5$Jp8cvAI,
210,3,Ceiling,1,ARC,Ceiling_210,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvBO,,,,"[7, 344]",,,1T7BPQ_hn69uk5$Jp8cvBO,
211,3,Ceiling,1,ARC,Ceiling_211,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv9q,,,,[8],,,1T7BPQ_hn69uk5$Jp8cv9q,
212,3,Ceiling,1,ARC,Ceiling_212,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvAR,,,,[3],,,1T7BPQ_hn69uk5$Jp8cvAR,
213,3,Ceiling,1,ARC,Ceiling_213,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvAC,,,,[334],,,1T7BPQ_hn69uk5$Jp8cvAC,
214,3,Ceiling,1,ARC,Ceiling_214,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv9y,,,,[333],,,1T7BPQ_hn69uk5$Jp8cv9y,
215,3,Ceiling,1,ARC,Ceiling_215,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv9a,,,,[347],,,1T7BPQ_hn69uk5$Jp8cv9a,
216,3,Ceiling,1,ARC,Ceiling_216,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv9i,,,,[332],,,1T7BPQ_hn69uk5$Jp8cv9i,
217,3,Ceiling,1,ARC,Ceiling_217,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv9K,,,,[348],,,1T7BPQ_hn69uk5$Jp8cv9K,
218,3,Ceiling,1,ARC,Ceiling_218,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv9S,,,,[349],,,1T7BPQ_hn69uk5$Jp8cv9S,
219,3,Ceiling,1,ARC,Ceiling_219,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv90,,,,[349],,,1T7BPQ_hn69uk5$Jp8cv90,
220,3,Ceiling,1,ARC,Ceiling_220,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv8n,,,,[351],,,1T7BPQ_hn69uk5$Jp8cv8n,
221,3,Ceiling,1,ARC,Ceiling_221,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv8w,,,,[1],,,1T7BPQ_hn69uk5$Jp8cv8w,
222,3,Ceiling,1,ARC,Ceiling_222,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv8Y,,,,[330],,,1T7BPQ_hn69uk5$Jp8cv8Y,
223,3,Ceiling,1,ARC,Ceiling_223,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv8g,,,,[329],,,1T7BPQ_hn69uk5$Jp8cv8g,
224,3,Ceiling,1,ARC,Ceiling_224,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv8J,,,,[6],,,1T7BPQ_hn69uk5$Jp8cv8J,
225,3,Ceiling,1,ARC,Ceiling_225,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv84,,,,[355],,,1T7BPQ_hn69uk5$Jp8cv84,
226,3,Ceiling,1,ARC,Ceiling_226,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv8D,,,,[331],,,1T7BPQ_hn69uk5$Jp8cv8D,
227,3,Ceiling,1,ARC,Ceiling_227,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvFs,,,,[328],,,1T7BPQ_hn69uk5$Jp8cvFs,
228,3,Ceiling,1,ARC,Ceiling_228,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cv99,,,,[350],,,1T7BPQ_hn69uk5$Jp8cv99,
229,5,Window,1,ARC,Window_229,occ_brep,,element,39AcnEtunBZuCxNSP5ZgmC,,,,[6],,,39AcnEtunBZuCxNSP5ZgmC,
230,3,Ceiling,1,ARC,Ceiling_230,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvAf,,,,[335],,,1T7BPQ_hn69uk5$Jp8cvAf,
231,1,Wall,1,ARC,Wall_231,occ_brep,,element,2Vw5Ga4Dz31wA6t7ociB5H,,,,[9],,,2Vw5Ga4Dz31wA6t7ociB5H,
232,3,Ceiling,1,ARC,Ceiling_232,occ_brep,,rewritten,2Vw5Ga4Dz31wA6t7ociBQA,,,,[337],,,2Vw5Ga4Dz31wA6t7ociBQA,
233,5,Window,1,ARC,Window_233,occ_brep,,element,39AcnEtunBZuCxNSP5Zgoe,,,,[6],,,39AcnEtunBZuCxNSP5Zgoe,
234,4,Door,1,ARC,Door_234,occ_brep,,element,386JrM$qH03g5dOJoAeMIA,,,,"[352, 310]",,,386JrM$qH03g5dOJoAeMIA,
235,5,Window,1,ARC,Window_235,occ_brep,,element,08Kju84ofEuAMc6WrE1A3n,,,,[],,,08Kju84ofEuAMc6WrE1A3n,
236,4,Door,1,ARC,Door_236,occ_brep,,element,0eL7LBn3PDbgIv7KJtrcSW,,,,"[307, 352]",,,0eL7LBn3PDbgIv7KJtrcSW,
237,4,Door,1,ARC,Door_237,occ_brep,,element,26kn7MqLL9oOOTivXpgCJr,,,,"[351, 350]",,,26kn7MqLL9oOOTivXpgCJr,
238,4,Door,1,ARC,Door_238,occ_brep,,element,2kxpD3OfX4N8UFTL5WOVYu,,,,"[341, 344]",,,2kxpD3OfX4N8UFTL5WOVYu,
239,4,Door,1,ARC,Door_239,occ_brep,,element,26kn7MqLL9oOOTivXpgF_P,,,,"[344, 326]",,,26kn7MqLL9oOOTivXpgF_P,
240,4,Door,1,ARC,Door_240,occ_brep,,element,2Vw5Ga4Dz31wA6t7ociAzJ,,,,"[7, 344]",,,2Vw5Ga4Dz31wA6t7ociAzJ,
241,5,Window,1,ARC,Window_241,occ_brep,,element,08Kju84ofEuAMc6WrE1A3F,,,,[],,,08Kju84ofEuAMc6WrE1A3F,
242,4,Door,1,ARC,Door_242,occ_brep,,element,2VuhFQabH3JOql_RiqfVxz,,,,[341],,,2VuhFQabH3JOql_RiqfVxz,
243,4,Door,1,ARC,Door_243,occ_brep,,element,2VuhFQabH3JOql_RiqfU3s,,,,[341],,,2VuhFQabH3JOql_RiqfU3s,
244,4,Door,1,ARC,Door_244,occ_brep,,element,2Vw5Ga4Dz31wA6t7ociAOG,,,,[341],,,2Vw5Ga4Dz31wA6t7ociAOG,
245,4,Door,1,ARC,Door_245,occ_brep,,element,2Vw5Ga4Dz31wA6t7ociB8U,,,,"[5, 9]",,,2Vw5Ga4Dz31wA6t7ociB8U,
